player,pts_per_game,ast_per_game,trb_per_game,mp_per_game,impact_score
Evan Fournier,15.9,2.875,2.888,31.088,0.697
Evan Mobley,16.72,3.06,9.0,32.24,0.893
Evan Turner,10.53,3.52,4.84,27.87,0.678
Fabricio Oberto,4.8,1.2,5.2,20.0,0.56
Facundo Campazzo,6.1,3.6,2.1,21.9,0.539
Felipe López,8.0,1.55,3.35,23.0,0.561
Francisco Elson,4.9,0.7,4.7,21.9,0.47
Francisco García,11.567,1.7,3.0,26.933,0.604
Frank Jackson,10.6,1.0,1.6,22.0,0.6
Frank Kaminsky,10.1,1.667,4.067,23.467,0.675
Frank Ntilikina,5.967,3.0,2.133,21.233,0.523
Franz Wagner,19.425,3.7,4.9,32.375,0.866
Fred Hoiberg,7.9,2.5,3.8,26.6,0.534
Fred Jones,8.32,2.5,2.44,26.26,0.505
Fred VanVleet,15.988,6.062,3.625,33.288,0.771
Furkan Korkmaz,8.7,1.5,2.45,21.4,0.591
GG Jackson II,13.55,1.35,4.2,23.55,0.811
Gabe Vincent,8.167,2.333,1.767,23.5,0.522
Garrett Temple,7.962,2.013,2.825,26.512,0.483
Garrison Mathews,10.0,1.0,2.9,26.3,0.529
Gary Harris,11.788,2.075,2.5,29.438,0.556
Gary Neal,9.886,1.686,2.157,21.4,0.642
Gary Payton,16.611,6.767,4.111,35.8,0.768
Gary Trent Jr.,13.475,1.438,2.2,28.212,0.607
George Hill,10.964,3.186,3.114,27.5,0.628
George Lynch,6.625,1.75,5.75,26.875,0.526
George McCloud,9.5,3.3,3.4,26.7,0.607
Georges Niang,9.3,1.3,3.3,21.8,0.638
Gerald Green,11.28,0.88,2.82,23.18,0.646
Gerald Henderson,12.583,2.2,3.467,28.867,0.632
Gerald Wallace,14.15,2.5,6.817,35.15,0.668
Giannis Antetokounmpo,24.442,5.075,10.125,32.85,1.207
Gilbert Arenas,18.85,4.912,3.75,33.462,0.822
Glen Davis,9.9,1.12,5.26,25.78,0.631
Glen Rice,12.3,1.467,3.567,28.6,0.606
Glenn Robinson,20.2,2.52,6.04,35.56,0.809
Glenn Robinson III,10.233,1.333,4.233,27.033,0.584
Goga Bitadze,7.2,2.0,6.6,20.4,0.775
Goran Dragić,16.05,5.31,3.42,31.54,0.786
Gordan Giriček,10.76,1.66,2.8,26.18,0.581
Gordon Hayward,16.0,3.75,4.708,31.867,0.768
Gorgui Dieng,9.933,1.867,7.767,29.833,0.656
Gradey Dick,11.45,1.45,2.9,25.25,0.626
Grant Hill,14.962,2.862,4.75,31.625,0.714
Grant Long,5.7,1.467,4.433,24.333,0.477
Grant Williams,8.575,1.675,4.0,26.175,0.544
Grayson Allen,12.117,2.483,3.3,27.717,0.646
Greg Anthony,7.9,4.7,2.2,25.2,0.587
Greg Buckner,6.175,1.5,3.175,21.525,0.504
Greg Monroe,13.65,2.262,8.575,28.562,0.857
Greg Oden,8.9,0.5,7.0,21.5,0.763
Greg Ostertag,6.1,1.15,6.8,25.7,0.547
Greivis Vásquez,10.28,5.18,2.8,25.7,0.711
Guerschon Yabusele,11.0,2.1,5.6,27.1,0.69
Gui Santos,9.2,2.3,3.9,20.5,0.751
Gustavo Ayón,5.9,1.4,4.9,20.1,0.607
Hakeem Olajuwon,9.767,1.233,6.533,24.333,0.721
Hakim Warrick,11.1,0.76,4.66,23.22,0.711
Hamidou Diallo,11.3,1.6,5.0,22.75,0.787
Harrison Barnes,13.94,1.78,4.647,31.107,0.655
Hassan Whiteside,14.133,0.7,12.017,27.35,0.982
Haywood Highsmith,6.3,1.3,3.3,22.65,0.481
Hedo Türkoğlu,12.927,3.627,4.473,31.109,0.676
Herbert Jones,9.8,2.5,3.725,29.6,0.541
Hersey Hawkins,7.9,2.2,2.9,26.6,0.489
Hollis Thompson,8.2,1.133,3.167,25.2,0.496
Horace Grant,7.175,1.7,6.35,28.9,0.527
Howard Eisley,8.4,4.325,2.175,26.075,0.571
Hubert Davis,7.45,1.7,1.85,24.35,0.452
Ian Mahinmi,9.3,1.5,7.1,25.6,0.699
Iman Shumpert,7.588,1.938,3.35,25.3,0.509
Ime Udoka,8.4,1.5,3.7,28.6,0.476
Immanuel Quickley,14.9,4.425,3.8,28.275,0.818
Ira Newble,7.2,1.233,4.0,27.2,0.457
Isaac Okoro,8.7,1.66,2.86,27.58,0.479
Isaiah Canaan,10.1,1.95,2.1,22.75,0.622
Isaiah Collier,10.2,6.75,2.9,25.8,0.769
Isaiah Hartenstein,9.4,3.267,9.467,25.8,0.858
Isaiah Joe,10.65,1.45,2.55,21.45,0.683
Isaiah Livers,6.7,0.8,2.8,23.1,0.446
Isaiah Rider,19.3,3.7,4.3,34.7,0.787
Isaiah Roby,9.4,1.7,5.2,22.25,0.733
Isaiah Stewart,9.68,1.24,7.02,25.78,0.696
Isaiah Thomas,17.575,4.762,2.45,28.462,0.871
Isaiah Whitehead,7.4,2.6,2.5,22.5,0.556
Ish Smith,10.586,5.071,3.3,25.729,0.737
Ivica Zubac,12.443,1.771,9.857,27.929,0.862
J.J. Barea,10.4,4.567,2.467,22.483,0.775
J.J. Hickson,11.04,0.98,7.88,25.6,0.777
J.R. Bremer,8.3,2.6,2.3,23.5,0.562
J.R. Smith,12.742,2.225,3.3,28.642,0.638
JJ Redick,14.427,2.418,2.209,28.345,0.672
Ja Morant,22.74,7.36,4.72,31.8,1.095
Ja'Kobe Walter,8.05,1.4,2.85,20.85,0.59
JaMychal Green,9.04,1.0,6.82,23.82,0.708
JaVale McGee,11.325,0.575,8.025,25.675,0.776
Jabari Parker,16.233,2.3,6.0,30.833,0.796
Jabari Smith Jr.,13.625,1.475,7.3,32.025,0.699
Jabari Walker,8.9,1.0,7.1,23.6,0.72
